blind_id,candidate_id,original_layer,citation,first_reviewer_source_label,first_reviewer_report_access,first_reviewer_decision,first_reviewer_reason
R001,E33,TRANSFER,"ZHANG W, QI J, WAN P, et al. An Easy-to-Use Airborne LiDAR Data Filtering Method Based on Cloth Simulation[J]. Remote Sensing, 2016, 8(6): 501. DOI: 10.3390/rs8060501.",Source material supplied in the blinded screening form.,FT,TRANSFER-METHOD,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R002,E34,CORE,"ARANGO C, MORALES C A. Comparison between multicopter UAV and total station for estimating stockpile volumes[C]//Int Arch Photogramm Remote Sens Spatial Inf Sci, 2015, XL-1/W4: 131-135. DOI: 10.5194/isprsarchives-XL-1-W4-131-2015.",Arango 2015,FT,DIRECT-EMPIRICAL,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R003,E55,SUPPORT,"MEYER F, BEUCHER S. Morphological segmentation[J]. Journal of Visual Communication and Image Representation, 1990, 1(1): 21-46. DOI: 10.1016/1047-3203(90)90014-M.","MEYER F, BEUCHER S",ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Foundational method, standard, metrology guide, or review-reporting source; retained outside the validation-study count."
R004,E362,TRANSFER,"Saif Aati; Jean‐Philippe Avouac. Optimization of Optical Image Geometric Modeling, Application to Topography Extraction and Topographic Change Measurements Using PlanetScope and SkySat Imagery. Remote Sensing. 2020. https://doi.org/10.3390/rs12203418",Saif Aati; Jean‐Philippe Avouac,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Adjacent acquisition, calibration, localization or change evidence relevant to the target measurement chain."
R005,E201,TRANSFER,V. Kalasapudi. A Robust Registration Algorithm for Automatic and Reliable Geometric Change Detection 1 of Bridges using 3 D Laser Scanning Data 2 3 4 5. [Venue unavailable]. 2017.,V,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R006,E306,EXCLUDE,Muhammad Fulki Fadhillah; Arief Rizqiyanto Achmad; Chang-Wook Lee. Improved Combined Scatterers Interferometry With Optimized Point Scatterers (ICOPS) for Interferometric Synthetic Aperture Radar (InSAR) Time-Series Analysis. IEEE Transactions on Geoscience and Remote Sensing. 2021. https://doi.org/10.1109/tgrs.2021.3138763,Muhammad Fulki Fadhillah; Arief Rizqiyanto Achmad; Chang-Wook Lee,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R007,E294,EXCLUDE,Tobias Andersson Granberg; Hossein Baharmand. Guest editorial: Emergency response logistics. Journal of Humanitarian Logistics and Supply Chain Management. 2025. https://doi.org/10.1108/jhlscm-02-2025-164,Tobias Andersson Granberg; Hossein Baharmand,ABSTRACT/PREVIEW,EXCLUDE-OTHER,No stockpile-volume endpoint and no indispensable mobile/robotic measurement-chain contribution.
R008,E192,EXCLUDE,Wangwang Huang; Xuesong Mei; Gedong Jiang; Dongxiang Hou; BI Yi-fei; Yuyan Wang. An on-machine tool path generation method based on hybrid and local point cloud registration for laser deburring of ceramic cores. Journal of Intelligent Manufacturing. 2021. https://doi.org/10.1007/s10845-021-01779-y,Wangwang Huang; Xuesong Mei; Gedong Jiang; Dongxiang Hou; BI Yi-fei; Yuyan Wang,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R009,E264,SUPPORT,"Fayez Tarsha Kurdi. Efficiency of Terrestrial Laser Scanning in Survey Works: Assessment, Modelling, and Monitoring. International Journal of Environmental Sciences &amp; Natural Resources. 2023. https://doi.org/10.19080/ijesnr.2023.32.556334",Fayez Tarsha Kurdi,ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,Background review or general method context without a direct validation endpoint for this review.
R010,E04,CORE,"ALSAYED A, NABAWY M R A. Stockpile volume estimation in open and confined environments: a review[J]. Drones, 2023, 7(8): 537. DOI: 10.3390/drones7080537.",Alsayed review 2023,FT,SPECIALIST-REVIEW,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
