record_id,source_batch,screening_route,report_access,full_text_stage,final_role,primary_exclusion_reason,decision_basis,local_report
E01,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E02,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E03,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E04,legacy,CORE,FT,INCLUDED,SPECIALIST-REVIEW,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E34,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E35,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E36,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E37,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E38,legacy,CORE,P,FULL_TEXT_EXCLUDED,EXCLUDE-OVERLAP,overlapping_report,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E39,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E40,legacy,CORE,NR,NOT_RETRIEVED,NOT-RETRIEVED,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E41,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E71,legacy,CORE,FT,INCLUDED,SPECIALIST-REVIEW,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E75,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E76,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E77,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E78,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
