blind_id,report_access,second_reviewer_decision,unique_primary_reason,page_table_abstract_basis,notes
R001,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R002,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R003,ABSTRACT/PREVIEW,MOVE-SUPPORT,"Foundational standard, general algorithm, terminology source, or review-reporting guidance is useful as supporting context rather than empirical stockpile/transfer validation evidence.",Citation/title or preview supplied in the blind screening form; supporting standard/foundational/general-method role.,
R004,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R005,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R006,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R007,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R008,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R009,ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Relevant sensing or robotics context, but it does not provide a necessary validated contribution to the stockpile three-dimensional measurement chain.",Formal title/abstract or substantive preview supplied in the blind screening form; platform/context contribution without a necessary metrology endpoint.,
R010,ABSTRACT/PREVIEW,SPECIALIST-REVIEW,Specialist review synthesizes stockpile volumetry or directly relevant three-dimensional measurement/change methods.,Formal title/abstract or substantive preview supplied in the blind screening form; review scope directly covers the target measurement problem.,
