blind_id,candidate_id,original_layer,first_reviewer_decision,second_reviewer_report_access,second_reviewer_decision,second_reviewer_reason,second_reviewer_basis,agreement,final_decision,adjudication_basis,adjudicator,adjudication_date
R001,E33,TRANSFER,TRANSFER-METHOD,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,AGREE,TRANSFER-METHOD,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R002,E34,CORE,DIRECT-EMPIRICAL,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,AGREE,DIRECT-EMPIRICAL,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R003,E55,SUPPORT,SUPPORT-BACKGROUND,ABSTRACT/PREVIEW,MOVE-SUPPORT,"Foundational standard, general algorithm, terminology source, or review-reporting guidance is useful as supporting context rather than empirical stockpile/transfer validation evidence.",Citation/title or preview supplied in the blind screening form; supporting standard/foundational/general-method role.,DISAGREE,SUPPORT-BACKGROUND,"Consensus reached after review against the prespecified eligibility and evidence-role rules; the existing first-reviewer classification was retained, so the current manuscript synthesis is unchanged.",Reviewer 1 and Reviewer 2 consensus,2026-09-01
R004,E362,TRANSFER,TRANSFER-METHOD,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,AGREE,TRANSFER-METHOD,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R005,E201,TRANSFER,TRANSFER-METHOD,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,AGREE,TRANSFER-METHOD,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R006,E306,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R007,E294,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R008,E192,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R009,E264,SUPPORT,SUPPORT-BACKGROUND,ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Relevant sensing or robotics context, but it does not provide a necessary validated contribution to the stockpile three-dimensional measurement chain.",Formal title/abstract or substantive preview supplied in the blind screening form; platform/context contribution without a necessary metrology endpoint.,AGREE,SUPPORT-BACKGROUND,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R010,E04,CORE,SPECIALIST-REVIEW,ABSTRACT/PREVIEW,SPECIALIST-REVIEW,Specialist review synthesizes stockpile volumetry or directly relevant three-dimensional measurement/change methods.,Formal title/abstract or substantive preview supplied in the blind screening form; review scope directly covers the target measurement problem.,AGREE,SPECIALIST-REVIEW,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
